genre,playlist_id
barbadian pop,4skZam98b2PwmuWxS8fAT5
progressive rock,1sYzsb7P37XzNZoUR2GGdm
eurodance,4jw4G9J55p7tXV2xEAGUj4
hardcore hip hop,0iMt55EhVZULr9oClWtyOX
bachata,5CllQE0jNYEbZWEjyhDD6J
australian dance,3iiCEjJsCfkP18Xfqv9fZi
neon pop punk,52NjfVJ2mAEaeOorFvrGvk
emo,4eC7Sa1Xcy33lKn53gfiZb
trap boricua,4fWARp37Pjz3rf3WvVIAFz
brazilian rock,3nExI3KhiOs9fFobjdHzfj
funk paulista,6YHx5ZIQqpfrxKEsw77EDU
pop venezolano,0dYg5qMtoE1qT37H7YBNLf
cantautor,2KMAWk6brKSc3lVAsRZIMH
chanson,6IyBSGUEuApnT6miXVlKLf
drift phonk,19sgQqGAcGplazJZTXeLUG
florida rap,5NELYHLIR9VEbXvj9h52vV
bedroom r&b,2rYV2n4K0QRuE1rcWbsWMM
latin christian,2p0LqJK2o0uCq2COZJyhls
movie tunes,1gauLmjFqDP3iP7yKiJCHt
indonesian pop rock,69r1MJRmRHDdyMwVYnok2p
russian hip hop,69d6UEZKkFtQNEDQyntv7S
spanish hip hop,3WLnRqmW5IZOATVCnNqZk5
cali rap,4KxHxwmVq3Q7Gg9wkyOwzV
dancehall,4NWfwcqBdZ3wltgu3BESG7
brooklyn drill,6cKDwODDI0Cxba36w964fK
trap queen,24lpzMRS776gtph07QO0AK
urbano chileno,7tZuamhysdcbZWkGa3l72G
color noise,0CqBELlpt9OFtk9NybFIdm
children's music,3EBkMektqMgkilc2bOehLD
world worship,5KopCY959BEZz4oWcG9yNS
urbano mexicano,3p1ydvi0RyHcDfIC1sfA3n
sheffield indie,7oJElJ9V5z6jWiJEA4S6DM
classic texas country,4HbGCzaH6bTsF1FGAESEzG
escape room,1BwLE6QTlmYAtosuvJcgY7
modern indie pop,0FkLYgMF09lmzytexAraKv
funk rj,4YyikjHPefH5dYGjgQ6zem
plugg,64APSYMq8SznNHfk8siTLw
anime rock,0LUqgNyVlPVcZ34ODl30kv
merseybeat,2FE5Q5imNlAYRKubRHOuE8
reggae fusion,0j92q9CkBFlHDpgcIURMd6
shoegaze,5ydNNBQbwQJuhmcxyo8K1f
tamil hip hop,7iXfcP5kZ4EPqSSmySAUtf
britpop,5H4y9vLqOhWGn0xsExGxKb
australian rock,0D5WxMvZQ7kZJCgF0xu2kJ
industrial metal,65Jejep3SssPpTW8RGELh6
baroque pop,1e3sjciHZnhGYpaVYv6rO1
brooklyn indie,78MPGFVq0C4yrfvgxZKngM
pop argentino,2dHEwheLsfq6X3AfIH1AnJ
r&b en espanol,4tzYxjoGLrGjrjp1x0Sggg
trance,5vBxJ3Y2DbAna3xBJpGz0z
turkish trap,5HmIKVhLNyi6CLopqdLJVU
thai pop,3UgbkYQnqsue0LbbcUUCDN
lilith,7yNFFzl1njPs3ToiRrWU9w
indian instrumental,2hNgMUbA6cV6NaIbXhd2Bg
downtempo,5zxj55xrB53As97uvt5x8x
southern rock,4T1ZiJC9fdryPOa47Pf3vl
sophisti-pop,18LufJPENHQkScaoTPZLAm
punjabi hip hop,1z4ZrhexnvW94ekEDDQqeU
polish trap,78dAycV2sXjUhhhCrmgalT
socal pop punk,082daAvMUmkVEgkolt3wCw
candy pop,1g2P36W1Dn9CYyegAm7Z4x
tamil pop,1n837Vzu2Mtk4H1vBYA3m3
rockabilly,5LNGaRZPGqluUQWQBY49WS
girl group,0vgSCZFzrE0eId4bKI1NNt
uk contemporary r&b,5kdP7VQedYdDzhTvfovu0u
atl trap,3JqPLi8uM4ldiPdT3T6Oy8
old school thrash,7Mb1RVFEVwS1kOeMpbCWbR
classic bollywood,0JoynXyEsqFyxTn9NTZkFW
compositional ambient,2nKOwEQWB8qDAG5Qcs0kWc
gym phonk,39fjkMOK0mMK0XKNr18Xxc
north carolina hip hop,3G9abO9U7dJa0kR4ZKhapR
dark r&b,79hZVIvDOO2OMJnZQ3gzIV
country dawn,2qk8D3ZyEBXDwR02alzjXq
symphonic rock,7xy3Cy7QkWNgDjkntVvda8
tennessee hip hop,0sDsNueIuqMP0aNLesjWMq
instrumental lullaby,5COOZ0qQHM3AhJnSF7ey9E
pittsburgh rap,5hEnBDgbXhqEa2mUr4sFVU
thrash metal,3UQbqTKIxehTFCdFyjEQUn
afropop,5vpvuv9xaddqd00dzpxTzg
screamo,3yvVzKRxdUAc7vxWdwQfGS
canadian rock,4STQEZTDt5QijuCxmg3DpB
kindermusik,7iRtqaM0fu2Ip8GzzceQzF
melodic drill,54z9sCdnMoFNmWuxczmEYW
nyc rap,6YiocLoaqYYGiAztoGspzh
modern blues rock,2KmAVEfiJy17zDEZslvmSg
rock nacional brasileiro,2VU7QQKSn6eIE2e9DY52dM
philly rap,46OzYiu5J1KvNDAwyY126g
afrofuturism,2w4rahctwfHuu3YFP8lcFl
healing hz,0PaPyYEZfzx2vpoPmjVYzY
cumbia pop,1fcPcaUecENuGmupx6P6xw
rap latina,6JWSHUaK7oIekxggExyj6T
reggae,0TcXdt4sbITbwCwwFbKYyd
madchester,4S0dEwHY1tHedrYTB6O1Yi
spanish pop rock,6Z07gmQdxcSmwR1iVNK1Yk
k-rap,0thomPcNswX7vGOyBvHxMQ
dutch hip hop,6BXgKjKKHLt63XIEjs4WIx
trip hop,2wrc23l7JdQVcpPIcDGaed
la indie,0C1hLm2vFuQgqMnjv31lBK
alternative dance,5LwcdWTCx2JoWeVVWOYsGj
v-pop,6TtiOm4Vf5wD8gPs1V4pQI
rap rock,2xlyZ5SKttZHYxLU6o9mle
funk consciente,1pYXwb6K11YUZWvulG8LfM
indie anthem-folk,4Ub3q1CU9YGXR2bkJ4wKwe
musica chihuahuense,3Atku5VuTdlJWziQIQYuxt
chill house,5JbAFiiJ3NkrymbL3pv23b
australian hip hop,6wYuYcsFOmTuWnYqEalOhk
azontobeats,0BFlqvOTWhikSH6YmnugCs
new americana,7uSlfH4blWi70SZAtqAWbe
tejano,6cFjgaI6dLy1cM0HTKQq8Z
korean ost,3IYiaXY49BlwvlBaFcFvbb
nova mpb,6csaLz3wHWP7Mdl3x2tmxk
dutch edm,0DX9WVEaDkEiax6hcVqdaL
j-division,1W1ZU2KC8ycl8BY7naUBlm
sertanejo tradicional,5yWEBJMpp4zuGt83GYOyHE
acoustic pop,7vgw73gZZ5gAIxK2emsSPU
aesthetic rap,2OY7wFfc4FIedjHBF95f9t
pop flamenco,5eXtMliOlZWHMcDDRkANhL
cancion melodica,2dLBa2Id927DSbDX11R0h3
sigilkore,2EK7UnhMWzCVnrI4I0FN44
rap conciencia,6vfVdOzLUYpG9z9wE0Icjx
neo-psychedelic,7qhZxfWGh9O2HWt3V7gpSA
dutch pop,56vsjg8uIptImNUVOyXi5d
adoracao,2F44c8g3v3EsAuPQvmHTIl
ska argentino,0sS9Esh4m1MZjtLlGRIQmB
irish rock,2CBHXjkBbHfiKcKIHesfbC
classic italian pop,5KrDtqnhoJoY9d5RIYMXRP
indie pop rap,6KO7rNq7jfMLQ5oQ8If6x9
pop r&b,2BvxkVFgxGelSCrWV53I2o
groove metal,5UYSZ8nVmn0iaIelrf9Oe8
power metal,1sy0OGu2TTXLTiZ7zMdcoB
lo-fi study,6KM2bexSz0CWtpMtrrA4iX
classic country pop,6lOCvTH6vW5Jc7oyryNom4
danish pop,2d4TUfOahHzSBYo0zm8mnV
jazz,5EyFMotmvSfDAZ4hSdKrbx
industrial rock,3YA1JuMxq4iJNRr1G4hilC
hyperpop,7DrJ92Lc9UaVB1rKM2UGsg
axe,2ohTpPrJnqmuPYGlzwSPZe
phonk brasileiro,6UaDlDppqi6m5rOhIRdeJT
pixie,79AOdu3ELUDHkDPJT1rXUt
bossa nova,62CfN1iGlw8MZDMht3P6I3
uk post-punk,0PdixUwE2t9E4ehH6TaTyi
lo-fi indie,6bLWoiHrkb8pP82YGCqCHi
cumbia sonidera,5vdpHqiubY4Vkr4nLUbWY1
southern soul,5Q3wLZoh8pyDIboX6XolLp
